Variation #,Input,Memory Format
381,"Tensor<[1, 64, 24, 32]> input = ?",Optional[int] memory_format = torch.contiguous_format
382,"Tensor<[1, 64, 768]> input = ?",
383,"Tensor<[1, 8, 8, 3072]> input = ?",
384,"Tensor<[1, 8, 8, 768]> input = ?",
385,"Tensor<[1, 10, 3072]> input = ?",
386,"Tensor<[1, 12, 1, 1]> input = ?",
387,"Tensor<[1, 12, 1, 10]> input = ?",
388,"Tensor<[1, 12, 1, 2]> input = ?",
389,"Tensor<[1, 12, 1, s0 + 1]> input = ?",
390,"Tensor<[1, 10, 1024]> input = ?",
391,"Tensor<[1, 16, 10, 10]> input = ?",
392,"Tensor<[1, 10, 16, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
393,"Tensor<[1, 10, 4096]> input = ?",
394,"Tensor<[1, 16, 1, 1]> input = ?",
395,"Tensor<[1, 16, 1, 10]> input = ?",
396,"Tensor<[1, 1, 4096]> input = ?",
397,"Tensor<[1, 16, 1, 2]> input = ?",
398,"Tensor<[1, 16, 1, s0 + 1]> input = ?",
399,"Tensor<[1, 10, 512]> input = ?",
400,"Tensor<[1, 8, 10, 10]> input = ?",
401,"Tensor<[1, 10, 8, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
402,"Tensor<[1, 10, 2048]> input = ?",
403,"Tensor<[1, 8, 1, 1]> input = ?",
404,"Tensor<[1, 8, 1, 10]> input = ?",
405,"Tensor<[1, 1, 2048]> input = ?",
406,"Tensor<[1, 8, 1, 2]> input = ?",
407,"Tensor<[1, 8, 1, s0 + 1]> input = ?",
408,"Tensor<[1, 12, 9, 9]> input = ?",
409,"Tensor<[1, 9, 12, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
410,"Tensor<[1, 9, 768]> input = ?",
411,"Tensor<[1, 14, 128]> input = ?",
412,"Tensor<[1, 12, 14, 14]> input = ?",
413,"Tensor<[1, 14, 12, 64]> input = ?",Optional[int] memory_format = torch.contiguous_format
414,"Tensor<[1, 14, 768]> input = ?",
415,"Tensor<[1, 14]> input = ?",Optional[int] memory_format = torch.contiguous_format
416,"Tensor<[1, 4096]> input = ?",
417,"Tensor<[3, 197, 1, 768]> input = ?",Optional[int] memory_format = torch.contiguous_format
418,"Tensor<[1, 197, 3072]> input = ?",
419,"Tensor<[1, 50, 768]> input = ?",
420,"Tensor<[3, 50, 1, 768]> input = ?",Optional[int] memory_format = torch.contiguous_format
421,"Tensor<[1, 50, 3072]> input = ?",
422,"Tensor<[1, 1370, 1280]> input = ?",
423,"Tensor<[3, 1370, 1, 1280]> input = ?",Optional[int] memory_format = torch.contiguous_format
424,"Tensor<[1, 1370, 5120]> input = ?",
425,"Tensor<[3, 197, 1, 1024]> input = ?",Optional[int] memory_format = torch.contiguous_format
426,"Tensor<[1, 197, 4096]> input = ?",
427,"Tensor<[1, 50, 1024]> input = ?",
428,"Tensor<[3, 50, 1, 1024]> input = ?",Optional[int] memory_format = torch.contiguous_format
429,"Tensor<[1, 50, 4096]> input = ?",
